=== HBM Pipeline Summary ===
Input:   C:/Users/hmanj/PycharmProjects/NHL_Poisson/Poisson_Data_Jachec_NH_Lymphoma_Zip(in).csv
Spatial: C:/Users/hmanj/OneDrive/Desktop/Hillsborough_new.geojson
N regions: 54
N edges:   126
Scaling factor: 18519.1095

              mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
alpha       -8.173  0.051  -8.268   -8.084      0.004    0.004     155.0      97.0    NaN
theta[0]    -0.080  0.941  -1.933    1.561      0.119    0.073      65.0      23.0    NaN
theta[1]    -0.019  1.055  -1.777    1.786      0.075    0.067     167.0      70.0    NaN
theta[2]    -0.217  1.033  -2.008    1.546      0.073    0.096     185.0      70.0    NaN
theta[3]    -0.020  0.977  -1.623    2.029      0.088    0.099     122.0      71.0    NaN
theta[4]    -0.051  0.840  -1.459    1.617      0.069    0.091     152.0      67.0    NaN
theta[5]     0.159  0.928  -1.345    2.216      0.089    0.086     103.0      78.0    NaN
theta[6]    -0.129  1.021  -1.854    1.760      0.072    0.207     190.0      48.0    NaN
theta[7]     0.047  1.132  -2.464    2.165      0.080    0.143     200.0      33.0    NaN
theta[8]    -0.090  0.806  -1.477    0.994      0.057    0.065     200.0     100.0    NaN
theta[9]    -0.016  0.865  -1.685    1.651      0.077    0.091     134.0     102.0    NaN
theta[10]   -0.012  1.038  -2.368    1.652      0.073    0.095     200.0      52.0    NaN
theta[11]    0.035  0.837  -1.466    1.856      0.077    0.085     114.0      70.0    NaN
theta[12]   -0.043  0.884  -1.545    1.471      0.063    0.072     200.0      94.0    NaN
theta[13]    0.084  0.875  -1.295    2.271      0.064    0.099     184.0      74.0    NaN
theta[14]   -0.070  0.872  -1.634    1.289      0.062    0.103     163.0      42.0    NaN
theta[15]   -0.122  0.798  -1.888    1.060      0.067    0.068     143.0      98.0    NaN
theta[16]    0.056  0.839  -1.444    1.502      0.078    0.066     123.0      78.0    NaN
theta[17]   -0.062  0.917  -1.467    1.834      0.081    0.080     133.0      60.0    NaN
theta[18]   -0.033  0.865  -1.741    1.403      0.070    0.083     173.0      78.0    NaN
theta[19]    0.104  0.826  -1.287    1.436      0.068    0.090     167.0      58.0    NaN
theta[20]   -0.053  0.994  -1.862    1.756      0.104    0.083      86.0      46.0    NaN
theta[21]   -0.031  0.939  -2.142    1.238      0.081    0.075     130.0     117.0    NaN
theta[22]    0.012  0.944  -1.511    1.901      0.081    0.074     131.0     113.0    NaN
theta[23]    0.414  0.985  -1.761    1.961      0.087    0.125     152.0      52.0    NaN
theta[24]   -0.081  1.007  -1.994    1.491      0.071    0.095     200.0      77.0    NaN
theta[25]   -0.091  0.856  -2.364    1.295      0.068    0.104     190.0      60.0    NaN
theta[26]    0.021  1.117  -1.679    2.283      0.089    0.101     158.0      55.0    NaN
theta[27]    0.016  1.065  -1.694    2.214      0.097    0.109     123.0      57.0    NaN
